Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,tissue,treatment,type
SRR23920155,RNA-Seq,300,14943025800,PRJNA946733,SAMN33830944,4745957976,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731450,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106594,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:20:00Z,1,GSM7106594,blood,SRP428267,blood,LPS+IFN gamma treated macrophages (M1 polarized),M1
SRR23920156,RNA-Seq,300,13945653900,PRJNA946733,SAMN33830945,4406885274,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731449,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106593,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:18:00Z,1,GSM7106593,blood,SRP428267,blood,untreated/unpolarized macrophages (M0),M0
SRR23920157,RNA-Seq,300,16455947700,PRJNA946733,SAMN33830946,5217877895,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731448,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106592,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:16:00Z,1,GSM7106592,blood,SRP428267,blood,TRAIL treated macrophages,Mac
SRR23920158,RNA-Seq,300,17762378700,PRJNA946733,SAMN33830947,5584389194,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731447,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106591,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:20:00Z,1,GSM7106591,blood,SRP428267,blood,TRAIL and IL-10 treated macrophages (TRAIL+M2c polarized),M2
SRR23920159,RNA-Seq,300,14768347200,PRJNA946733,SAMN33830948,4728722827,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731446,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106590,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:10:00Z,1,GSM7106590,blood,SRP428267,blood,IL-10 treated macrophages (M2c polarized),M2
SRR23920160,RNA-Seq,300,13728175500,PRJNA946733,SAMN33830949,4314114250,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731445,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106589,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:17:00Z,1,GSM7106589,blood,SRP428267,blood,TRAIL and IL-4 treated macrophages (TRAIL+M2a polarized),M2
SRR23920161,RNA-Seq,300,16833482400,PRJNA946733,SAMN33830950,5307567334,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731444,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106588,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:14:00Z,1,GSM7106588,blood,SRP428267,blood,IL-4 treated macrophages (M2a polarized),M2
SRR23920162,RNA-Seq,300,17836350900,PRJNA946733,SAMN33830951,5678818309,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731443,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106587,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:27:00Z,1,GSM7106587,blood,SRP428267,blood,TRAIL and LPS+IFN gamma treated macrophages (TRAIL+M1 polarized),M1
SRR23920163,RNA-Seq,300,14241193200,PRJNA946733,SAMN33830952,4513798775,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731442,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106586,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:18:00Z,1,GSM7106586,blood,SRP428267,blood,LPS+IFN gamma treated macrophages (M1 polarized),M1
SRR23920164,RNA-Seq,300,14497676400,PRJNA946733,SAMN33830953,4575892638,primary human monocyte derived macrophages,IZMIR BIOMEDICINE AND GENOME CENTER,missing,public,"fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX19731441,WT,uncalculated,uncalculated,missing,NextSeq 500,GSM7106585,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-09-11T00:00:00Z,2023-03-20T18:12:00Z,1,GSM7106585,blood,SRP428267,blood,untreated/unpolarized macrophages (M0),M0

